description,image,number,seller,price,ratting,category
OnePlus Bullets Wireless Z in-Ear Bluetooth Earphones with Mic (Mint),"https://images-eu.ssl-images-amazon.com/images/I/516sOjFfchL._AC_UL200_SR200,200_.jpg",86,Unknown,1999.0,4.3,ELECTRONICS
boAt Rockerz 255 Sports in-Ear Bluetooth Neckband Earphone with Mic(Neon),"https://images-eu.ssl-images-amazon.com/images/I/61BSpkRG7dL._AC_UL200_SR200,200_.jpg",87,Unknown,1299.0,4.0,ELECTRONICS
"Fire TV Stick (3rd Gen, 2021) with all-new Alexa Voice Remote (includes TV and app controls) | HD streaming device…","https://images-eu.ssl-images-amazon.com/images/I/5121rrjO7pL._AC_UL200_SR200,200_.jpg",88,Unknown,3999.0,4.5,ELECTRONICS
"OnePlus 9R 5G (Carbon Black, 8GB RAM, 128GB Storage)","https://images-eu.ssl-images-amazon.com/images/I/61PDbUd1VaL._AC_UL200_SR200,200_.jpg",89,Unknown,39999.0,4.2,ELECTRONICS
"ELV Desktop Cell Phone Stand Tablet Stand, Aluminum Stand Holder for Mobile Phone (All Size) and Tablet (Up to 10.1 inch…","https://images-eu.ssl-images-amazon.com/images/I/61ALO0BDcJL._AC_UL200_SR200,200_.jpg",90,Unknown,169.0,4.3,ELECTRONICS
Samsung EVO Plus 64GB microSDXC UHS-I 100MB/s Full HD & 4K UHD Memory Card with Adapter (MB-MC64HA),"https://images-eu.ssl-images-amazon.com/images/I/81MbOF%2BPYQL._AC_UL200_SR200,200_.jpg",91,Unknown,699.0,4.4,ELECTRONICS
HP 803 Small Ink Cartridge (Black),"https://images-eu.ssl-images-amazon.com/images/I/71Yy96fOMQL._AC_UL200_SR200,200_.jpg",92,Unknown,809.0,3.9,ELECTRONICS
"OnePlus 9R 5G (Lake Blue, 8GB RAM, 128GB Storage)","https://images-eu.ssl-images-amazon.com/images/I/61IwksZ-DGL._AC_UL200_SR200,200_.jpg",93,Unknown,0,4.2,ELECTRONICS
"Callas Multipurpose Foldable Laptop Table with Cup Holder | Drawer | Mac Holder | Table Holder Study Table, Breakfast…","https://images-eu.ssl-images-amazon.com/images/I/61ZVp5Y5bBS._AC_UL200_SR200,200_.jpg",94,Unknown,849.0,4.2,ELECTRONICS
"Sony WI-C200 Wireless In-Ear Headphones with 15 Hours Battery Life, Quick Charge, Magnetic Earbuds for Tangle Free…","https://images-eu.ssl-images-amazon.com/images/I/61ECm9HL6FL._AC_UL200_SR200,200_.jpg",95,Unknown,1799.0,3.9,ELECTRONICS
"pTron Bassfest Plus Magnetic in-Ear Bluetooth 5.0 Wireless Headphones, Stereo Sound with Bass, IPX4 Water & Sweat…","https://images-eu.ssl-images-amazon.com/images/I/51uy2KIJgGL._AC_UL200_SR200,200_.jpg",96,Unknown,599.0,3.8,ELECTRONICS
boAt Rugged v3 Extra Tough Unbreakable Braided Micro USB Cable 1.5 Meter (Black),"https://images-eu.ssl-images-amazon.com/images/I/61b91WUDxmL._AC_UL200_SR200,200_.jpg",97,Unknown,299.0,4.0,ELECTRONICS
"boAt Airdopes 121v2 TWS Earbuds with Bluetooth V5.0, Immersive Audio, Up to 14H Total Playback, Instant Voice Assistant…","https://images-eu.ssl-images-amazon.com/images/I/71YFr6cN-GL._AC_UL200_SR200,200_.jpg",98,Unknown,1299.0,3.8,ELECTRONICS
Wacom One by CTL-472/K0-CX Small 6-inch x 3.5-inch Graphic Tablet (Red/Black),"https://images-eu.ssl-images-amazon.com/images/I/61gGegpTCLL._AC_UL200_SR200,200_.jpg",99,Unknown,3600.0,4.4,ELECTRONICS
"Philips SHE1505 in-Ear Rich Bass Headphones with 10 mm Drivers, Passive Noise Isolation and Mic (Black)","https://images-eu.ssl-images-amazon.com/images/I/518-%2B0jg8BS._AC_UL200_SR200,200_.jpg",100,Unknown,325.0,3.8,ELECTRONICS
